Tue Jul  1 18:35:42 2014    timing.4

         2309495 function calls (2251965 primitive calls) in 91.244 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     4796    0.088    0.000    0.108    0.000 /home/pi/ndn/PyNDN2/python/pyndn/name.py:603(__len__)
      959    0.088    0.000    0.107    0.000 /home/pi/ndn/PyNDN2/python/pyndn/encoding/tlv/tlv_encoder.py:216(getOutput)
    19109    0.104    0.000    0.104    0.000 {thread.get_ident}
     1916    0.101    0.000    0.101    0.000 /home/pi/ndn/PyNDN2/python/pyndn/util/dynamic_byte_array.py:34(__init__)
        1    0.022    0.022    0.099    0.099 /usr/local/lib/python2.7/dist-packages/Crypto/PublicKey/RSA.py:64(<module>)
     3837    0.099    0.000    0.099    0.000 /home/pi/ndn/PyNDN2/python/pyndn/util/common.py:78(typeIsString)
      956    0.035    0.000    0.095    0.000 /home/pi/ndn/PyNDN2/python/pyndn/util/blob.py:78(size)
    10541    0.094    0.000    0.094    0.000 /home/pi/ndn/PyNDN2/python/pyndn/encoding/tlv/tlv_decoder.py:341(getOffset)
       10    0.000    0.000    0.093    0.009 /usr/lib/python2.7/re.py:188(compile)
       10    0.002    0.000    0.093    0.009 /usr/lib/python2.7/re.py:226(_compile)
       10    0.001    0.000    0.090    0.009 /usr/lib/python2.7/sre_compile.py:495(compile)
      956    0.062    0.000    0.087    0.000 /home/pi/ndn/PyNDN2/python/pyndn/encoding/tlv/tlv_encoder.py:104(writeNonNegativeInteger)
     1914    0.063    0.000    0.087    0.000 /home/pi/ndn/PyNDN2/python/pyndn/sha256_with_rsa_signature.py:65(getKeyLocator)
     5909    0.087    0.000    0.087    0.000 {method 'write' of '_io.BytesIO' objects}
     5729    0.086    0.000    0.086    0.000 {method 'rfind' of 'str' objects}
        1    0.003    0.003    0.085    0.085 /usr/lib/pymodules/python2.7/google/protobuf/text_format.py:31(<module>)
     6696    0.085    0.000    0.085    0.000 /home/pi/ndn/PyNDN2/python/pyndn/util/blob.py:182(isNull)
      955    0.084    0.000    0.084    0.000 /home/pi/ndn/PyNDN2/python/pyndn/encoding/tlv/tlv_structure_decoder.py:30(__init__)
     7720    0.083    0.000    0.083    0.000 {hasattr}
     1908    0.056    0.000    0.083    0.000 /usr/lib/python2.7/logging/__init__.py:81(<lambda>)
     3828    0.081    0.000    0.081    0.000 {method 'find' of 'str' objects}
