Tue Jul  1 11:53:13 2014    timing.2

         1539768 function calls (1503430 primitive calls) in 51.438 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      586    0.039    0.000    0.166    0.000 /home/pi/PyNDN2/python/pyndn/data.py:234(getChangeCount)
        1    0.022    0.022    0.161    0.161 /usr/local/lib/python2.7/dist-packages/Crypto/PublicKey/RSA.py:64(<module>)
        1    0.006    0.006    0.152    0.152 /usr/local/lib/python2.7/dist-packages/google/protobuf/reflection.py:46(<module>)
        1    0.007    0.007    0.149    0.149 /home/pi/PyNDN2/python/pyndn/control_parameters.py:24(<module>)
     1759    0.080    0.000    0.148    0.000 /usr/local/lib/python2.7/dist-packages/mock.py:1988(__new__)
        1    0.024    0.024    0.147    0.147 /usr/local/lib/python2.7/dist-packages/google/protobuf/internal/python_message.py:49(<module>)
       25    0.002    0.000    0.142    0.006 /usr/local/lib/python2.7/dist-packages/google/protobuf/reflection.py:129(__init__)
       25    0.009    0.000    0.140    0.006 /usr/local/lib/python2.7/dist-packages/google/protobuf/internal/python_message.py:82(InitMessage)
     1174    0.046    0.000    0.134    0.000 /usr/local/lib/python2.7/dist-packages/google/protobuf/internal/python_message.py:403(getter)
     2930    0.048    0.000    0.127    0.000 /home/pi/PyNDN2/python/pyndn/encoding/tlv/tlv_decoder.py:160(peekType)
      142    0.014    0.000    0.126    0.001 /usr/lib/python2.7/sre_compile.py:178(_compile_charset)
     1174    0.105    0.000    0.124    0.000 /home/pi/PyNDN2/python/pyndn/encoding/tlv/tlv_encoder.py:216(getOutput)
2348/1174    0.086    0.000    0.124    0.000 /usr/local/lib/python2.7/dist-packages/google/protobuf/internal/python_message.py:980(Modified)
2348/1174    0.050    0.000    0.118    0.000 /usr/local/lib/python2.7/dist-packages/google/protobuf/internal/python_message.py:1032(Modified)
      587    0.079    0.000    0.114    0.000 /home/pi/PyNDN2/python/pyndn/node.py:463(__init__)
     4109    0.099    0.000    0.110    0.000 /usr/local/lib/python2.7/dist-packages/google/protobuf/internal/python_message.py:593(HasField)
        1    0.006    0.006    0.109    0.109 /usr/local/lib/python2.7/dist-packages/Crypto/IO/PKCS8.py:47(<module>)
      142    0.057    0.000    0.109    0.001 /usr/lib/python2.7/sre_compile.py:207(_optimize_charset)
        1    0.005    0.005    0.105    0.105 /usr/lib/pymodules/python2.7/numpy/testing/__init__.py:6(<module>)
     1174    0.056    0.000    0.105    0.000 /home/pi/PyNDN2/python/pyndn/encoding/tlv/tlv_encoder.py:35(__init__)
        1    0.008    0.008    0.105    0.105 /usr/local/lib/python2.7/dist-packages/google/protobuf/text_format.py:31(<module>)
      586    0.104    0.000    0.104    0.000 {method 'recv_into' of '_socket.socket' objects}
      586    0.036    0.000    0.102    0.000 /usr/local/lib/python2.7/dist-packages/mock.py:570(__set_return_value)
     8958    0.100    0.000    0.100    0.000 {method 'write' of '_io.BytesIO' objects}
        1    0.008    0.008    0.098    0.098 /usr/local/lib/python2.7/dist-packages/Crypto/IO/_PBES.py:22(<module>)
    13493    0.097    0.000    0.097    0.000 /home/pi/PyNDN2/python/pyndn/name.py:507(getChangeCount)
     4817    0.097    0.000    0.097    0.000 {range}
        1    0.003    0.003    0.094    0.094 /usr/lib/pymodules/python2.7/numpy/core/_internal.py:4(<module>)
        1    0.073    0.073    0.094    0.094 /usr/lib/pymodules/python2.7/numpy/polynomial/polynomial.py:48(<module>)
        8    0.069    0.009    0.092    0.011 /usr/lib/python2.7/collections.py:287(namedtuple)
      586    0.032    0.000    0.089    0.000 /home/pi/PyNDN2/python/pyndn/util/change_counter.py:50(set)
        1    0.016    0.016    0.088    0.088 /usr/lib/python2.7/unittest/__init__.py:45(<module>)
        1    0.006    0.006    0.087    0.087 /home/pi/PyNDN2/python/pyndn/encoding/__init__.py:8(<module>)
    12765    0.087    0.000    0.087    0.000 {method 'append' of 'list' objects}
        1    0.008    0.008    0.087    0.087 /home/pi/PyNDN2/python/pyndn/face.py:23(<module>)
        1    0.068    0.068    0.084    0.084 /usr/lib/pymodules/python2.7/numpy/polynomial/hermite_e.py:50(<module>)
